DATABASE_ID,NAME,SET,CLASS,COST,RARITY,TYPE,INGAME_ID
56413,Boggspine Knuckles,Ashes of Outland,SHAMAN,5,EPIC,WEAPON,BT_102
56685,Marsh Hydra,Ashes of Outland,DRUID,7,EPIC,MINION,BT_133
56684,Ironbark,Ashes of Outland,DRUID,2,RARE,SPELL,BT_132
56682,Ysiel Windsinger,Ashes of Outland,DRUID,9,LEGENDARY,MINION,BT_131
56680,Overgrowth,Ashes of Outland,DRUID,4,COMMON,SPELL,BT_130
56678,Germination,Ashes of Outland,DRUID,4,RARE,SPELL,BT_129
56677,Fungal Fortunes,Ashes of Outland,DRUID,2,RARE,SPELL,BT_128
56676,Imprisoned Satyr,Ashes of Outland,DRUID,3,COMMON,MINION,BT_127
56660,Teron Gorefiend,Ashes of Outland,NEUTRAL,3,LEGENDARY,MINION,BT_126
56512,Corsair Cache,Ashes of Outland,WARRIOR,2,RARE,SPELL,BT_124
56510,Kargath Bladefist,Ashes of Outland,WARRIOR,4,LEGENDARY,MINION,BT_123
56508,Imprisoned Gan'arg,Ashes of Outland,WARRIOR,1,COMMON,MINION,BT_121
56507,Warmaul Challenger,Ashes of Outland,WARRIOR,3,EPIC,MINION,BT_120
56504,Bladestorm,Ashes of Outland,WARRIOR,3,EPIC,SPELL,BT_117
56472,Marshspawn,Ashes of Outland,SHAMAN,3,COMMON,MINION,BT_115
56471,Shattered Rumbler,Ashes of Outland,SHAMAN,5,EPIC,MINION,BT_114
56470,Totemic Reflection,Ashes of Outland,SHAMAN,3,COMMON,SPELL,BT_113
56467,Torrent,Ashes of Outland,SHAMAN,5,RARE,SPELL,BT_110
56420,Lady Vashj,Ashes of Outland,SHAMAN,3,LEGENDARY,MINION,BT_109
56417,Bogstrok Clacker,Ashes of Outland,SHAMAN,3,RARE,MINION,BT_106
56412,Vivid Spores,Ashes of Outland,SHAMAN,4,RARE,SPELL,BT_101
57688,Skeletal Dragon,Ashes of Outland,PRIEST,7,EPIC,MINION,BT_341
56520,Shadow Council,Ashes of Outland,WARLOCK,1,EPIC,SPELL,BT_306
57180,Ruststeed Raider,Ashes of Outland,NEUTRAL,5,COMMON,MINION,BT_720
57721,Bulwark of Azzinoth,Ashes of Outland,WARRIOR,3,LEGENDARY,WEAPON,BT_781
56526,Dirty Tricks,Ashes of Outland,ROGUE,2,COMMON,SPELL,BT_709
56527,Greyheart Sage,Ashes of Outland,ROGUE,3,EPIC,MINION,BT_710
56528,Blackjack Stunner,Ashes of Outland,ROGUE,1,RARE,MINION,BT_711
56530,Akama,Ashes of Outland,ROGUE,3,LEGENDARY,MINION,BT_713
57174,Frozen Shadoweaver,Ashes of Outland,NEUTRAL,3,COMMON,MINION,BT_714
57175,Bonechewer Brawler,Ashes of Outland,NEUTRAL,2,COMMON,MINION,BT_715
57176,Bonechewer Vanguard,Ashes of Outland,NEUTRAL,7,COMMON,MINION,BT_716
57177,Burrowing Scorpid,Ashes of Outland,NEUTRAL,4,COMMON,MINION,BT_717
60280,Coilfang Warlord,Ashes of Outland,DEMONHUNTER,8,RARE,MINION,BT_761
57181,Blistering Rot,Ashes of Outland,NEUTRAL,3,RARE,MINION,BT_721
56860,Ashtongue Battlelord,Ashes of Outland,DEMONHUNTER,4,COMMON,MINION,BT_423
57182,Guardian Augmerchant,Ashes of Outland,NEUTRAL,1,COMMON,MINION,BT_722
57184,Ethereal Augmerchant,Ashes of Outland,NEUTRAL,1,COMMON,MINION,BT_724
57186,Dragonmaw Sky Stalker,Ashes of Outland,NEUTRAL,6,COMMON,MINION,BT_726
57187,Soulbound Ashtongue,Ashes of Outland,NEUTRAL,1,COMMON,MINION,BT_727
57188,Disguised Wanderer,Ashes of Outland,NEUTRAL,4,COMMON,MINION,BT_728
57189,Waste Warden,Ashes of Outland,NEUTRAL,5,EPIC,MINION,BT_729
57190,Overconfident Orc,Ashes of Outland,NEUTRAL,3,COMMON,MINION,BT_730
57191,Infectious Sporeling,Ashes of Outland,NEUTRAL,1,RARE,MINION,BT_731
57192,Scavenging Shivarra,Ashes of Outland,NEUTRAL,6,COMMON,MINION,BT_732
57193,Mo'arg Artificer,Ashes of Outland,NEUTRAL,2,EPIC,MINION,BT_733
57194,Supreme Abyssal,Ashes of Outland,NEUTRAL,8,COMMON,MINION,BT_734
57195,Al'ar,Ashes of Outland,NEUTRAL,5,LEGENDARY,MINION,BT_735
57183,Rocket Augmerchant,Ashes of Outland,NEUTRAL,1,COMMON,MINION,BT_723
56379,Cursed Vagrant,Ashes of Outland,ROGUE,7,COMMON,MINION,BT_703
56524,Ambush,Ashes of Outland,ROGUE,2,RARE,SPELL,BT_707
56377,Spymistress,Ashes of Outland,ROGUE,1,COMMON,MINION,BT_701
56899,Metamorphosis,Ashes of Outland,DEMONHUNTER,5,LEGENDARY,SPELL,BT_429
56900,Warglaives of Azzinoth,Ashes of Outland,DEMONHUNTER,5,EPIC,WEAPON,BT_430
58170,Crimson Sigil Runner,Ashes of Outland,DEMONHUNTER,1,COMMON,MINION,BT_480
56378,Ashtongue Slayer,Ashes of Outland,ROGUE,2,RARE,MINION,BT_702
58243,Pit Commander,Ashes of Outland,DEMONHUNTER,9,EPIC,MINION,BT_486
58453,Spectral Sight,Ashes of Outland,DEMONHUNTER,2,COMMON,SPELL,BT_491
58455,Priestess of Fury,Ashes of Outland,DEMONHUNTER,7,RARE,MINION,BT_493
56649,Imprisoned Antaen,Ashes of Outland,DEMONHUNTER,6,RARE,MINION,BT_934
57197,Maiev Shadowsong,Ashes of Outland,NEUTRAL,4,LEGENDARY,MINION,BT_737
58495,Furious Felfin,Ashes of Outland,DEMONHUNTER,2,RARE,MINION,BT_496
59869,Immolation Aura,Ashes of Outland,DEMONHUNTER,2,COMMON,SPELL,BT_514
59864,Fel Summoner,Ashes of Outland,DEMONHUNTER,6,COMMON,MINION,BT_509
58201,Skull of Gul'dan,Ashes of Outland,DEMONHUNTER,6,RARE,SPELL,BT_601
58549,Magtheridon,Ashes of Outland,NEUTRAL,4,LEGENDARY,MINION,BT_850
555,Arcane Intellect,Basic,MAGE,3,FREE,SPELL,CS2_023
1084,Mirror Image,Basic,MAGE,1,FREE,SPELL,CS2_027
77,Polymorph,Basic,MAGE,4,FREE,SPELL,CS2_022
56791,Chaos Strike,Basic,DEMONHUNTER,2,FREE,SPELL,BT_035
662,Frostbolt,Basic,MAGE,2,FREE,SPELL,CS2_024
1124,Wild Growth,Basic,DRUID,3,FREE,SPELL,CS2_013
64,Swipe,Basic,DRUID,4,FREE,SPELL,CS2_012
56792,Coordinated Strike,Basic,DEMONHUNTER,3,FREE,SPELL,BT_036
315,Fireball,Basic,MAGE,4,FREE,SPELL,CS2_029
1004,Flamestrike,Basic,MAGE,7,FREE,SPELL,CS2_032
395,Water Elemental,Basic,MAGE,4,FREE,MINION,CS2_033
582,Darkscale Healer,Basic,NEUTRAL,5,FREE,MINION,DS1_055
447,Arcane Explosion,Basic,MAGE,2,FREE,SPELL,CS2_025
587,Frost Nova,Basic,MAGE,3,FREE,SPELL,CS2_026
982,Corruption,Basic,WARLOCK,1,FREE,SPELL,CS2_063
213,Mark of the Wild,Basic,DRUID,2,FREE,SPELL,CS2_009
766,Hex,Basic,SHAMAN,4,FREE,SPELL,EX1_246
830,Totemic Might,Basic,SHAMAN,0,FREE,SPELL,EX1_244
60067,Power Infusion,Basic,PRIEST,4,FREE,SPELL,EX1_194
60066,Psychic Conjurer,Basic,PRIEST,1,FREE,MINION,EX1_193
54865,Radiance,Basic,PRIEST,1,FREE,SPELL,EX1_192
54863,Plaguebringer,Basic,ROGUE,4,FREE,MINION,EX1_191
823,Starfire,Basic,DRUID,6,FREE,SPELL,EX1_173
254,Innervate,Basic,DRUID,0,FREE,SPELL,EX1_169
841,Holy Nova,Basic,PRIEST,4,FREE,SPELL,CS1_112
8,Mind Control,Basic,PRIEST,10,FREE,SPELL,CS1_113
279,Holy Smite,Basic,PRIEST,1,FREE,SPELL,CS1_130
1099,Mind Vision,Basic,PRIEST,1,FREE,SPELL,CS2_003
613,Power Word: Shield,Basic,PRIEST,0,FREE,SPELL,CS2_004
1050,Claw,Basic,DRUID,1,FREE,SPELL,CS2_005
773,Healing Touch,Basic,DRUID,3,FREE,SPELL,CS2_007
1003,Houndmaster,Basic,HUNTER,4,FREE,MINION,DS1_070
467,Moonfire,Basic,DRUID,0,FREE,SPELL,CS2_008
742,Savage Roar,Basic,DRUID,3,FREE,SPELL,CS2_011
606,Timber Wolf,Basic,HUNTER,1,FREE,MINION,DS1_175
57732,Soul Cleave,Basic,DEMONHUNTER,3,FREE,SPELL,BT_740
292,Multi-Shot,Basic,HUNTER,4,FREE,SPELL,DS1_183
59867,Inner Demon,Basic,DEMONHUNTER,8,FREE,SPELL,BT_512
1171,Bloodlust,Basic,SHAMAN,5,FREE,SPELL,CS2_046
710,Sinister Strike,Basic,ROGUE,1,FREE,SPELL,CS2_075
459,Deadly Poison,Basic,ROGUE,1,FREE,SPELL,CS2_074
58494,Glaivebound Adept,Basic,DEMONHUNTER,5,FREE,MINION,BT_495
914,Shadow Bolt,Basic,WARLOCK,3,FREE,SPELL,CS2_057
57847,Chaos Nova,Basic,DEMONHUNTER,5,FREE,SPELL,BT_235
564,Arcane Missiles,Basic,MAGE,1,FREE,SPELL,EX1_277
56973,Sightless Watcher,Basic,DEMONHUNTER,2,FREE,MINION,BT_323
950,Hellfire,Basic,WARLOCK,4,FREE,SPELL,CS2_062
58489,Satyr Overseer,Basic,DEMONHUNTER,3,FREE,MINION,BT_352
180,Backstab,Basic,ROGUE,0,FREE,SPELL,CS2_072
48,Voidwalker,Basic,WARLOCK,1,FREE,MINION,CS2_065
1019,Dread Infernal,Basic,WARLOCK,6,FREE,MINION,CS2_064
919,Drain Life,Basic,WARLOCK,3,FREE,SPELL,CS2_061
345,Assassinate,Basic,ROGUE,5,FREE,SPELL,CS2_076
630,Sprint,Basic,ROGUE,7,FREE,SPELL,CS2_077
56806,Shadowhoof Slayer,Basic,DEMONHUNTER,1,FREE,MINION,BT_142
1047,Tracking,Basic,HUNTER,1,FREE,SPELL,DS1_184
877,Arcane Shot,Basic,HUNTER,1,FREE,SPELL,DS1_185
132,Voodoo Doctor,Basic,NEUTRAL,1,FREE,MINION,EX1_011
284,Novice Engineer,Basic,NEUTRAL,2,FREE,MINION,EX1_015
608,Shattered Sun Cleric,Basic,NEUTRAL,3,FREE,MINION,EX1_019
523,Dragonling Mechanic,Basic,NEUTRAL,4,FREE,MINION,EX1_025
906,Acidic Swamp Ooze,Basic,NEUTRAL,2,FREE,MINION,EX1_066
1009,Warsong Commander,Basic,WARRIOR,3,FREE,MINION,EX1_084
667,Fan of Knives,Basic,ROGUE,3,FREE,SPELL,EX1_129
971,Frost Shock,Basic,SHAMAN,1,FREE,SPELL,CS2_037
56583,Aldrachi Warblades,Basic,DEMONHUNTER,3,FREE,WEAPON,BT_921
51,Windfury,Basic,SHAMAN,2,FREE,SPELL,CS2_039
149,Ancestral Healing,Basic,SHAMAN,0,FREE,SPELL,CS2_041
189,Fire Elemental,Basic,SHAMAN,6,FREE,MINION,CS2_042
239,Rockbiter Weapon,Basic,SHAMAN,2,FREE,SPELL,CS2_045
699,Tundra Rhino,Basic,HUNTER,5,FREE,MINION,DS1_178
573,Shiv,Basic,ROGUE,2,FREE,SPELL,EX1_278
922,Goldshire Footman,Basic,NEUTRAL,1,FREE,MINION,CS1_042
178,Windspeaker,Basic,SHAMAN,4,FREE,MINION,EX1_587
383,Light's Justice,Basic,PALADIN,1,FREE,WEAPON,CS2_091
943,Blessing of Kings,Basic,PALADIN,4,FREE,SPELL,CS2_092
476,Consecration,Basic,PALADIN,4,FREE,SPELL,CS2_093
250,Hammer of Wrath,Basic,PALADIN,4,FREE,SPELL,CS2_094
847,Truesilver Champion,Basic,PALADIN,4,FREE,WEAPON,CS2_097
344,Charge,Basic,WARRIOR,1,FREE,SPELL,CS2_103
291,Holy Light,Basic,PALADIN,2,FREE,SPELL,CS2_089
1007,Heroic Strike,Basic,WARRIOR,2,FREE,SPELL,CS2_105
785,Execute,Basic,WARRIOR,2,FREE,SPELL,CS2_108
304,Arcanite Reaper,Basic,WARRIOR,5,FREE,WEAPON,CS2_112
940,Cleave,Basic,WARRIOR,2,FREE,SPELL,CS2_114
1653,Magma Rager,Basic,NEUTRAL,3,FREE,MINION,CS2_118
1369,River Crocolisk,Basic,NEUTRAL,2,FREE,MINION,CS2_120
41,Frostwolf Grunt,Basic,NEUTRAL,2,FREE,MINION,CS2_121
401,Fiery War Axe,Basic,WARRIOR,3,FREE,WEAPON,CS2_106
1401,Raid Leader,Basic,NEUTRAL,3,FREE,MINION,CS2_122
1068,Guardian of Kings,Basic,PALADIN,7,FREE,MINION,CS2_088
141,Hunter's Mark,Basic,HUNTER,2,FREE,SPELL,CS2_084
854,Humility,Basic,PALADIN,1,FREE,SPELL,EX1_360
727,Hand of Protection,Basic,PALADIN,1,FREE,SPELL,EX1_371
768,Gurubashi Berserker,Basic,NEUTRAL,5,FREE,MINION,EX1_399
636,Whirlwind,Basic,WARRIOR,1,FREE,SPELL,EX1_400
976,Murloc Tidehunter,Basic,NEUTRAL,2,FREE,MINION,EX1_506
510,Grimscale Oracle,Basic,NEUTRAL,1,FREE,MINION,EX1_508
70,Blessing of Might,Basic,PALADIN,1,FREE,SPELL,CS2_087
296,Kill Command,Basic,HUNTER,3,FREE,SPELL,EX1_539
461,Sap,Basic,ROGUE,2,FREE,SPELL,EX1_581
175,Dalaran Mage,Basic,NEUTRAL,3,FREE,MINION,EX1_582
670,Nightblade,Basic,NEUTRAL,5,FREE,MINION,EX1_593
1023,Shield Block,Basic,WARRIOR,3,FREE,SPELL,EX1_606
1363,Shadow Word: Death,Basic,PRIEST,2,FREE,SPELL,EX1_622
421,Assassin's Blade,Basic,ROGUE,5,FREE,WEAPON,CS2_080
1008,Flametongue Totem,Basic,SHAMAN,3,FREE,MINION,EX1_565
289,Wolfrider,Basic,NEUTRAL,3,FREE,MINION,CS2_124
1370,Oasis Snapjaw,Basic,NEUTRAL,4,FREE,MINION,CS2_119
67,Silverback Patriarch,Basic,NEUTRAL,3,FREE,MINION,CS2_127
1092,Mortal Coil,Basic,WARLOCK,1,FREE,SPELL,EX1_302
1182,Ironfur Grizzly,Basic,NEUTRAL,3,FREE,MINION,CS2_125
1140,Booty Bay Bodyguard,Basic,NEUTRAL,5,FREE,MINION,CS2_187
389,Elven Archer,Basic,NEUTRAL,1,FREE,MINION,CS2_189
257,Razorfen Hunter,Basic,NEUTRAL,3,FREE,MINION,CS2_196
995,Ogre Magi,Basic,NEUTRAL,4,FREE,MINION,CS2_197
90,Chillwind Yeti,Basic,NEUTRAL,4,FREE,MINION,CS2_182
1686,Boulderfist Ogre,Basic,NEUTRAL,6,FREE,MINION,CS2_200
445,Reckless Rocketeer,Basic,NEUTRAL,6,FREE,MINION,CS2_213
753,Stormwind Champion,Basic,NEUTRAL,7,FREE,MINION,CS2_222
496,Frostwolf Warlord,Basic,NEUTRAL,5,FREE,MINION,CS2_226
205,Ironbark Protector,Basic,DRUID,8,FREE,MINION,CS2_232
1367,Shadow Word: Pain,Basic,PRIEST,2,FREE,SPELL,CS2_234
1241,Starving Buzzard,Basic,HUNTER,5,FREE,MINION,CS2_237
1687,Core Hound,Basic,NEUTRAL,7,FREE,MINION,CS2_201
635,Sen'jin Shieldmasta,Basic,NEUTRAL,4,FREE,MINION,CS2_179
712,War Golem,Basic,NEUTRAL,7,FREE,MINION,CS2_186
216,Bloodfen Raptor,Basic,NEUTRAL,2,FREE,MINION,CS2_172
622,Stormwind Knight,Basic,NEUTRAL,4,FREE,MINION,CS2_131
339,Ironforge Rifleman,Basic,NEUTRAL,3,FREE,MINION,CS2_141
739,Bluegill Warrior,Basic,NEUTRAL,2,FREE,MINION,CS2_173
163,Sacrificial Pact,Basic,WARLOCK,0,FREE,SPELL,NEW1_003
28,Kor'kron Elite,Basic,WARRIOR,4,FREE,MINION,NEW1_011
437,Animal Companion,Basic,HUNTER,3,FREE,SPELL,NEW1_031
974,Soulfire,Basic,WARLOCK,1,FREE,SPELL,EX1_308
672,Kobold Geomancer,Basic,NEUTRAL,2,FREE,MINION,CS2_142
308,Gnomish Inventor,Basic,NEUTRAL,4,FREE,MINION,CS2_147
413,Stormpike Commando,Basic,NEUTRAL,5,FREE,MINION,CS2_150
525,Archmage,Basic,NEUTRAL,6,FREE,MINION,CS2_155
157,Lord of the Arena,Basic,NEUTRAL,6,FREE,MINION,CS2_162
191,Murloc Raider,Basic,NEUTRAL,1,FREE,MINION,CS2_168
648,Stonetusk Boar,Basic,NEUTRAL,1,FREE,MINION,CS2_171
592,Felstalker,Basic,WARLOCK,2,FREE,MINION,EX1_306
2283,Hungry Dragon,Blackrock Mountain,NEUTRAL,4,COMMON,MINION,BRM_026
2281,Majordomo Executus,Blackrock Mountain,NEUTRAL,9,LEGENDARY,MINION,BRM_027
2262,Emperor Thaurissan,Blackrock Mountain,NEUTRAL,6,LEGENDARY,MINION,BRM_028
2308,Rend Blackhand,Blackrock Mountain,NEUTRAL,7,LEGENDARY,MINION,BRM_029
2408,Blackwing Technician,Blackrock Mountain,NEUTRAL,3,COMMON,MINION,BRM_033
2280,Chromaggus,Blackrock Mountain,NEUTRAL,8,LEGENDARY,MINION,BRM_031
2409,Blackwing Corruptor,Blackrock Mountain,NEUTRAL,5,COMMON,MINION,BRM_034
2258,Volcanic Drake,Blackrock Mountain,NEUTRAL,6,COMMON,MINION,BRM_025
2261,Nefarian,Blackrock Mountain,NEUTRAL,9,LEGENDARY,MINION,BRM_030
2257,Drakonid Crusher,Blackrock Mountain,NEUTRAL,6,COMMON,MINION,BRM_024
2304,Gang Up,Blackrock Mountain,ROGUE,2,COMMON,SPELL,BRM_007
2306,Dragonkin Sorcerer,Blackrock Mountain,NEUTRAL,4,COMMON,MINION,BRM_020
2286,Twilight Whelp,Blackrock Mountain,PRIEST,1,COMMON,MINION,BRM_004
2292,Druid of the Flame,Blackrock Mountain,DRUID,3,COMMON,MINION,BRM_010
2301,Demonwrath,Blackrock Mountain,WARLOCK,3,RARE,SPELL,BRM_005
2274,Solemn Vigil,Blackrock Mountain,PALADIN,5,COMMON,SPELL,BRM_001
2278,Dragon Egg,Blackrock Mountain,NEUTRAL,1,RARE,MINION,BRM_022
2275,Flamewaker,Blackrock Mountain,MAGE,3,RARE,MINION,BRM_002
2288,Imp Gang Boss,Blackrock Mountain,WARLOCK,3,COMMON,MINION,BRM_006
2291,Dark Iron Skulker,Blackrock Mountain,ROGUE,5,RARE,MINION,BRM_008
2284,Dragon's Breath,Blackrock Mountain,MAGE,5,COMMON,SPELL,BRM_003
2295,Volcanic Lumberer,Blackrock Mountain,DRUID,9,RARE,MINION,BRM_009
2279,Grim Patron,Blackrock Mountain,NEUTRAL,5,RARE,MINION,BRM_019
2290,Fireguard Destroyer,Blackrock Mountain,SHAMAN,4,COMMON,MINION,BRM_012
2260,Quick Shot,Blackrock Mountain,HUNTER,2,COMMON,SPELL,BRM_013
2263,Core Rager,Blackrock Mountain,HUNTER,4,RARE,MINION,BRM_014
2296,Revenge,Blackrock Mountain,WARRIOR,2,RARE,SPELL,BRM_015
2297,Axe Flinger,Blackrock Mountain,WARRIOR,4,COMMON,MINION,BRM_016
2289,Lava Shock,Blackrock Mountain,SHAMAN,2,RARE,SPELL,BRM_011
2298,Resurrect,Blackrock Mountain,PRIEST,2,RARE,SPELL,BRM_017
2299,Dragon Consort,Blackrock Mountain,PALADIN,5,RARE,MINION,BRM_018
979,Demolisher,Classic,NEUTRAL,3,RARE,MINION,EX1_102
453,Coldlight Seer,Classic,NEUTRAL,3,RARE,MINION,EX1_103
1371,Stampeding Kodo,Classic,NEUTRAL,5,RARE,MINION,NEW1_041
904,Eviscerate,Classic,ROGUE,2,COMMON,SPELL,EX1_124
1135,Lorewalker Cho,Classic,NEUTRAL,2,LEGENDARY,MINION,EX1_100
397,Flesheating Ghoul,Classic,NEUTRAL,3,COMMON,MINION,tt_004
584,Noble Sacrifice,Classic,PALADIN,1,COMMON,SPELL,EX1_130
420,Cairne Bloodhoof,Classic,NEUTRAL,6,LEGENDARY,MINION,EX1_110
282,Betrayal,Classic,ROGUE,2,COMMON,SPELL,EX1_126
272,Cabal Shadow Priest,Classic,PRIEST,6,EPIC,MINION,EX1_091
251,Loot Hoarder,Classic,NEUTRAL,2,COMMON,MINION,EX1_096
932,Gadgetzan Auctioneer,Classic,NEUTRAL,6,RARE,MINION,EX1_095
763,Defender of Argus,Classic,NEUTRAL,4,RARE,MINION,EX1_093
640,Hogger,Classic,NEUTRAL,6,LEGENDARY,MINION,NEW1_040
466,Arcane Golem,Classic,NEUTRAL,3,RARE,MINION,EX1_089
366,Spellbender,Classic,MAGE,3,EPIC,SPELL,tt_010
570,Tinkmaster Overspark,Classic,NEUTRAL,3,LEGENDARY,MINION,EX1_083
762,Mad Bomber,Classic,NEUTRAL,2,COMMON,MINION,EX1_082
158,Secretkeeper,Classic,NEUTRAL,1,RARE,MINION,EX1_080
37,Pint-Sized Summoner,Classic,NEUTRAL,2,RARE,MINION,EX1_076
281,Argent Commander,Classic,NEUTRAL,6,RARE,MINION,EX1_067
1221,Void Terror,Classic,WARLOCK,3,RARE,MINION,EX1_304
801,Crazed Alchemist,Classic,NEUTRAL,2,RARE,MINION,EX1_059
440,Abomination,Classic,NEUTRAL,5,RARE,MINION,EX1_097
